Date,net_gen_electric_power
2017-01-01,15.0
2017-02-01,19.0
2017-03-01,23.0
2017-04-01,25.0
2017-05-01,28.0
2017-06-01,24.0
2017-07-01,29.0
2017-08-01,26.0
2017-09-01,25.0
2017-10-01,26.0
2017-11-01,36.0
2017-12-01,37.0
2018-01-01,48.0
2018-02-01,44.0
2018-03-01,69.0
2018-04-01,79.0
2018-05-01,72.0
2018-06-01,80.0
2018-07-01,77.0
2018-08-01,78.0
2018-09-01,61.0
2018-10-01,67.0
2018-11-01,47.0
2018-12-01,42.0
2019-01-01,54.0
2019-02-01,51.0
2019-03-01,83.0
2019-04-01,94.0
2019-05-01,105.0
2019-06-01,93.0
2019-07-01,102.0
2019-08-01,90.0
2019-09-01,88.0
2019-10-01,70.0
2019-11-01,62.0
2019-12-01,58.0
2020-01-01,66.0
2020-02-01,70.0
2020-03-01,98.0
2020-04-01,126.0
2020-05-01,135.0
2020-06-01,152.0
2020-07-01,172.0
2020-08-01,122.0
2020-09-01,109.0
2020-10-01,116.0
2020-11-01,111.0
2020-12-01,94.0
2021-01-01,135.0
2021-02-01,118.0
2021-03-01,250.0
2021-04-01,286.0
2021-05-01,322.0
2021-06-01,307.0
2021-07-01,394.0
2021-08-01,357.0
2021-09-01,371.0
2021-10-01,274.0
2021-11-01,269.0
2021-12-01,184.0
2022-01-01,199.0
2022-02-01,284.0
2022-03-01,367.0
2022-04-01,478.0
2022-05-01,434.0
2022-06-01,567.0
2022-07-01,515.0
2022-08-01,522.0
2022-09-01,463.0
2022-10-01,357.0
2022-11-01,236.0
2022-12-01,201.0
2023-01-01,232.0
2023-02-01,292.0
2023-03-01,467.0
2023-04-01,531.0
2023-05-01,592.0
2023-06-01,570.0
2023-07-01,609.0
2023-08-01,564.0
2023-09-01,459.0
2023-10-01,435.0
2023-11-01,326.0
2023-12-01,278.0
2024-01-01,286.0
